Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
SRM-22	195	2	KL7, OCL1	Xi'an	20220911	8	16	64	128	1024	512	512	8	0.5	0.125	SAMN36593586
SRM-25	540	2	KL2, OCL1	Xi'an	20221009	512	512	64	64	1024	512	512	8	0.5	0.25	SAMN36593587
SRM-26	195	2	KL2, OCL1	Xi'an	20210502	512	512	64	128	1024	1024	512	8	0.25	0.125	SAMN36593588
SRM-27	195	2	KL9, OCL1	Xi'an	20210611	512	512	64	128	1024	1024	1024	8	1	<0.03	SAMN36593589
SRM-28	540	2	KL2, OCL1	Xi'an	20221008	16	512	64	32	1024	256	128	16	8	1	SAMN36593590
SRM-29	540	2	KL2, OCL1	Xi'an	20221007	512	512	64	32	1024	256	256	16	0.5	1	SAMN36593591
SRM-3	938	2	KL9, OCL1	Xi'an	20220730	512	512	32	32	1024	512	256	32		0.125	SAMN36593592
SRM-30	-	2	KL9, OCL1	Xi'an	20210702	8	512	64	32	1024	128	128	1	1	1	SAMN36593593
SRM-8	540	2	KL7, OCL1	Xi'an	20220808	512	512	64	64	1024	256	128	8		0.25	SAMN36593594
SRM-9	938	2	KL2, OCL1	Xi'an	20220829	512	512	64	128	1024	512	1024	16		0.125	SAMN36593595
SX-1	938	2	KL7, OCL1	Shaoxing	20210711	512	512	64	32	1024	512	1024	8	0.5	0.125	SAMN36593596
SX-101	208	2	KL9, OCL1	Shaoxing	20220620	8	32	32	32	1024	128	128	2	2	0.125	SAMN36593597
SX-103	462	46	KL9, OCL1	Shaoxing	20220727	32	64	32	32	32	4	64	2	2	0.125	SAMN36593598
SX-107	540	2	KL7, OCL1	Shaoxing	20220902	512	512	64	64	1024	512	128	4	0.5	0.25	SAMN36593599
SX-110	208	2	KL9, OCL1	Shaoxing	20220929	8	16	64	64	1024	128	512	2	1	0.06	SAMN36593600
SX-112	540	2	KL9, OCL1	Shaoxing	20221005	512	512	64	64	1024	256	128	4	1	0.25	SAMN36593601
SX-115	-	213	KL34, OCL1	Shaoxing	20221003	8	2	0.25	0.5	16	4	2	<0.06	1	1	SAMN36593602
SX-118	938	2	KL3, OCL1	Shaoxing	20221010	512	512	32	64	1024	1024	512	4	1	0.125	SAMN36593603
SX-125	-	1	KL7, OCL1	Shaoxing	20130123	4	2	16	32	1024	128	1024	0.125	0.25	0.25	SAMN36593604
SX-13	938	2	KL2, OCL1	Shaoxing	20210808	512	512	32	32	1024	512	1024	16	0.5	0.06	SAMN36593605
SX-130	208	2	KL14, OCL1	Shaoxing	20130208	4	64	128	256	1024	128	1024	8	0.25	0.06	SAMN36593606
SX-135	368	2	KL2, OCL1	Shaoxing	20130305	8	512	64	64	1024	128	256	8	0.5	0.25	SAMN36593607
SX-142	195	2	KL2, OCL1	Shaoxing	20130510	512	512	64	64	1024	1024	256	4	1	1	SAMN36593608
SX-143	195	2	KL2, OCL1	Shaoxing	20130610	512	512	64	128	1024	1024	256	8	0.5	1	SAMN36593609
SX-147	191	2	KL3, OCL1	Shaoxing	20130616	512	512	64	64	1024	256	1024	0.5	0.5	0.5	SAMN36593610
SX-15	784	2	KL9, OCL1	Shaoxing	20211211	2	512	32	32	1024	128	64	8	4	2	SAMN36593611
SX-152	191	2	KL2, OCL1	Shaoxing	20130711	512	512	64	64	1024	256	256	0.5	1	0.125	SAMN36593612
SX-154	191	2	KL14, OCL1	Shaoxing	20130802	512	512	64	64	1024	256	256	<0.06	0.5	0.25	SAMN36593613
SX-157	191	2	KL2, OCL1	Shaoxing	20131001	512	512	64	64	1024	128	512	0.5	0.25	0.25	SAMN36593614
SX-159	208	2	KL2, OCL1	Shaoxing	20131023	8	512	64	128	1024	128	256	8	0.5	0.125	SAMN36593615
SX-18	462	46	KL2, OCL1	Shaoxing	20211113	32	32	32	32	128	16	512	4	1	0.5	SAMN36593616
SX-23	462	46	KL14, OCL1	Shaoxing	20211201	16	32	32	32	32	8	64	4	0.5	1	SAMN36593617
SX-26	136	2	KL160, OCL1	Shaoxing	20210831	512	512	64	128	1024	512	1024	16	0.5	0.06	SAMN36593618
SX-31	208	2	KL3, OCL1	Shaoxing	20211015	8	32	128	128	1024	512	1024	0.25	0.25	2	SAMN36593619
SX-33	195	2	KL14, OCL1	Shaoxing	20211211	512	512	32	32	1024	1024	1024	32	1	0.125	SAMN36593620
SX-34	195	2	KL3, OCL1	Shaoxing	20211125	512	512	32	32	1024	512	1024	32	1	0.125	SAMN36593621
SX-38	195	2	KL2, OCL1	Shaoxing	20220109	8	16	64	32	1024	1024	1024	32	0.5	0.125	SAMN36593622
SX-44	540	2	KL14, OCL1	Shaoxing	20220827	512	512	64	128	1024	256	256	8	0.5	1	SAMN36593623
SX-48	208	2	KL3, OCL1	Shaoxing	20211222	8	512	64	128	512	128	64	32	0.5	0.5	SAMN36593624
SX-59	462	46	KL3, OCL1	Shaoxing	20211119	32	64	64	64	128	32	1024	1	1	1	SAMN36593625
SX-6	462	46	KL160, OCL1	Shaoxing	20210609	16	16	64	32	32	8	512	4	1	0.5	SAMN36593626
SX-63	208	2	KL160, OCL1	Shaoxing	20220325	8	16	32	32	1024	128	128	2	1	0.5	SAMN36593627
SX-71	208	2	KL3, OCL1	Shaoxing	20220222	8	8	32	32	1024	128	64	2	1	0.25	SAMN36593628
